area_m2,quartos,vagas,idade_anos,bairro,preco
40,2,1,4,Asa Norte,503386.0
97,4,0,29,Águas Claras,576608.0
126,4,1,13,Asa Norte,855902.0
66,2,0,11,Asa Norte,593869.0
102,3,3,20,Samambaia,663175.0
33,1,0,17,Águas Claras,348803.0
72,2,1,29,Samambaia,447218.0
82,3,3,18,Asa Norte,707159.0
148,5,2,18,Águas Claras,901545.0
55,2,1,3,Samambaia,403439.0
63,3,2,0,Samambaia,462841.0
79,3,3,13,Águas Claras,601977.0
150,5,1,34,Samambaia,802631.0
133,5,2,32,Taguatinga,758925.0
34,1,3,22,Asa Norte,440675.0
58,2,2,22,Samambaia,365493.0
129,5,1,13,Taguatinga,775587.0
37,1,0,6,Samambaia,252705.0
133,5,0,0,Taguatinga,780507.0
64,3,3,11,Samambaia,491453.0
141,5,2,11,Asa Norte,969281.0
65,2,1,6,Águas Claras,509669.0
82,2,1,9,Taguatinga,522459.0
110,5,2,0,Taguatinga,678782.0
45,2,2,21,Águas Claras,447681.0
97,4,2,32,Águas Claras,614274.0
91,2,1,24,Taguatinga,462072.0
124,5,2,15,Águas Claras,757223.0
150,5,1,14,Águas Claras,844063.0
110,3,3,10,Asa Norte,844826.0
79,2,0,4,Asa Norte,621015.0
79,3,0,20,Asa Norte,608011.0
80,3,1,19,Taguatinga,522490.0
128,4,2,0,Samambaia,761496.0
68,2,2,14,Asa Norte,627462.0
50,2,1,9,Águas Claras,429144.0
70,3,3,5,Águas Claras,595565.0
32,2,1,24,Asa Norte,348422.0
42,1,0,18,Águas Claras,309245.0
40,1,0,22,Taguatinga,190093.0
123,5,3,24,Samambaia,729662.0
117,4,0,34,Águas Claras,662038.0
114,4,3,28,Águas Claras,771994.0
85,2,1,21,Samambaia,511767.0
116,4,0,30,Asa Norte,782297.0
49,3,1,16,Águas Claras,398487.0
138,4,2,34,Samambaia,747381.0
90,4,1,26,Samambaia,499723.0
143,5,3,22,Taguatinga,845951.0
48,2,2,31,Asa Norte,536315.0
90,2,1,18,Águas Claras,547078.0
114,4,2,25,Águas Claras,743999.0
89,4,3,9,Asa Norte,798309.0
83,3,1,33,Águas Claras,494782.0
50,3,0,21,Asa Norte,530286.0
76,4,1,27,Samambaia,482050.0
58,2,3,16,Águas Claras,489367.0
66,4,0,30,Asa Norte,538519.0
112,4,3,2,Águas Claras,743728.0
106,4,2,3,Samambaia,632982.0
103,3,2,17,Águas Claras,684991.0
73,3,1,25,Asa Norte,577153.0
146,5,3,28,Asa Norte,1013113.0
40,2,0,15,Taguatinga,253539.0
71,2,1,22,Asa Norte,582458.0
44,2,1,19,Asa Norte,485438.0
71,2,1,33,Asa Norte,655380.0
146,5,1,22,Samambaia,730394.0
74,3,0,14,Samambaia,481121.0
139,5,0,33,Taguatinga,739644.0
89,4,0,3,Taguatinga,574791.0
114,3,2,34,Águas Claras,685742.0
85,3,1,5,Samambaia,532565.0
62,1,2,10,Taguatinga,425021.0
122,4,2,28,Taguatinga,754892.0
147,5,2,25,Águas Claras,856424.0
61,3,2,33,Samambaia,430428.0
124,4,2,26,Taguatinga,693447.0
61,1,2,22,Asa Norte,552491.0
116,4,2,12,Águas Claras,710081.0
125,4,2,0,Samambaia,752926.0
84,3,1,4,Águas Claras,635179.0
119,4,0,10,Águas Claras,711093.0
62,3,3,1,Samambaia,470709.0
39,2,1,17,Samambaia,245188.0
41,1,2,27,Águas Claras,343575.0
84,3,0,33,Taguatinga,411652.0
139,5,1,17,Asa Norte,906249.0
45,2,2,30,Samambaia,318938.0
85,4,2,34,Taguatinga,583965.0
115,3,2,30,Taguatinga,751322.0
54,2,1,16,Asa Norte,508470.0
117,5,3,11,Asa Norte,956836.0
67,1,2,34,Samambaia,386731.0
127,5,3,8,Asa Norte,948706.0
100,4,2,14,Águas Claras,691941.0
96,4,2,2,Samambaia,613767.0
51,1,3,27,Samambaia,352464.0
86,4,0,22,Samambaia,469308.0
133,5,3,2,Águas Claras,831066.0
32,1,3,7,Águas Claras,320773.0
121,4,2,19,Asa Norte,888864.0
89,3,2,18,Águas Claras,595715.0
117,4,2,28,Samambaia,632137.0
110,4,1,9,Taguatinga,663098.0
82,3,3,32,Asa Norte,713623.0
67,3,0,15,Samambaia,404713.0
105,4,1,28,Taguatinga,584638.0
46,1,2,8,Taguatinga,409720.0
100,3,3,1,Asa Norte,872471.0
41,3,1,1,Asa Norte,536709.0
108,3,1,13,Taguatinga,663278.0
106,3,0,33,Asa Norte,753269.0
40,2,0,1,Samambaia,331753.0
121,5,0,12,Taguatinga,718093.0
80,3,0,3,Águas Claras,565542.0
125,5,3,32,Taguatinga,770588.0
35,2,3,23,Taguatinga,298193.0
