area_m2,quartos,vagas,idade_anos,valor_condominio,bairro,preco
166,5,2,36,990,Guará,1076000
162,5,2,17,1030,Taguatinga,1018000
37,1,1,29,160,Samambaia,249000
134,4,3,23,1060,Águas Claras,938000
43,1,0,22,320,Ceilândia,206000
111,3,3,0,1140,Águas Claras,812000
155,5,2,23,1260,Guará,952000
82,3,2,11,420,Taguatinga,576000
60,2,2,37,600,Ceilândia,417000
128,4,2,35,1030,Guará,747000
62,2,1,30,450,Ceilândia,352000
166,5,4,6,1230,Águas Claras,1076000
137,4,3,32,930,Samambaia,816000
113,4,2,33,850,Ceilândia,678000
99,2,1,27,820,Águas Claras,570000
111,3,2,12,870,Taguatinga,726000
126,4,2,6,990,Asa Norte,978000
108,4,1,38,940,Asa Norte,832000
62,1,2,10,630,Samambaia,403000
104,3,2,21,670,Taguatinga,707000
98,3,2,23,700,Águas Claras,678000
57,2,1,6,420,Taguatinga,452000
39,1,1,29,530,Águas Claras,376000
95,4,2,7,910,Guará,716000
52,2,1,0,380,Guará,487000
93,4,2,30,700,Águas Claras,702000
122,4,2,21,640,Samambaia,705000
161,5,2,34,1010,Guará,1054000
87,3,2,25,550,Ceilândia,535000
146,5,3,24,1090,Águas Claras,976000
177,5,2,0,1320,Águas Claras,1174000
132,3,3,17,1020,Asa Norte,929000
120,3,1,22,810,Águas Claras,819000
125,4,3,30,830,Samambaia,709000
155,5,2,12,980,Asa Norte,1116000
165,5,3,3,1020,Samambaia,1053000
113,3,3,7,730,Taguatinga,824000
99,3,3,34,710,Asa Norte,819000
66,2,1,26,380,Ceilândia,463000
41,1,1,35,540,Taguatinga,420000
